Job Zone,Code,Occupation,Data-level,url,Median Wage,Projected Growth,"Employment Change, 2024-2034",Projected Job Openings,Education,Top Education Level,Top Education Rate,Sample Job Titles,Job Description,exposure_filter,necessity_filter,elasticity_filter,ai_category,role_resilience_score,final_ranking,key_drivers,altpath url,altpath simple title,Emerging Job Titles
5,29-1129.01,Art Therapists,Y,https://www.onetonline.org/link/summary/29-1129.01,"$31.26 hourly, $65,010 annual",Much faster than average (7% or higher),,"4,100",91% Master’s degree | 6% Post-master’s certificate,Master's degree,91%,"Art Psychotherapist, Art Therapist, Board Certified Art Therapist (ATR-BC), Creative Arts Therapist, Group Therapist, Oncology Art Therapist, Registered Art Therapist (ATR), Therapist","Plan or conduct art therapy sessions or programs to improve clients' physical, cognitive, or emotional well-being.",2.6,3.84,4,Less Immediate Change,3.33,0.667,"Art therapists rely heavily on building deep, trusting relationships with clients and reading emotional cues in real time—skills that AI cannot authentically replicate. Each session requires creative, personalized responses to a client's unique emotional and psychological needs, often involving hands-on physical interaction with art materials. Because this work is so deeply human and relational, it remains difficult to automate, which helps explain why demand for art therapists is projected to grow much faster than average as awareness of mental health needs continues to expand.",https://altpath.org/discover/k2piuv3zdkj22fydce0vd5yg,Art Therapist,
4,29-1129.02,Music Therapists,Y,https://www.onetonline.org/link/summary/29-1129.02,"$31.26 hourly, $65,010 annual",Much faster than average (7% or higher),,"4,100",73% Bachelor’s degree | 15% Master’s degree,Bachelor's degree,73%,"Board Certified Music Therapist (MT-BC), LCAT (Licensed Creative Arts Therapist), Music Therapist, Neurologic Music Therapist, Public School System Music Therapist, Therapist","Plan, organize, direct, or assess clinical and evidenced-based music therapy interventions to positively influence individuals' physical, psychological, cognitive, or behavioral status.",2.6,3.84,4,Less Immediate Change,3.33,0.667,"Music therapists work directly with people in deeply personal and emotional ways, building trust and tailoring interventions in real time based on a client's physical and psychological responses. This kind of hands-on, relationship-driven care is very difficult for AI to replicate because it requires genuine human empathy, creative musical expression, and the ability to read subtle cues in a therapeutic setting. With demand growing much faster than average due to expanding recognition of music therapy's benefits, this career offers strong job security.",https://altpath.org/discover/fqqbl01q10l4bhxr8u9ptc8c,Music Therapist,
5,29-1223.00,Psychiatrists,Y,https://www.onetonline.org/link/summary/29-1223.00,"$115.00+ hourly, $239,200+ annual",Faster than average (5% to 6%),6.1,900,59% Post-doctoral training | 34% Doctoral degree,Post-doctoral training,59%,"Adult Psychiatrist, Child Psychiatrist, Consulting Psychiatrist, Medical Doctor (MD), Outpatient Psychiatrist, Prison Psychiatrist, Psychiatrist, Staff Psychiatrist","Diagnose, treat, and help prevent mental disorders.",3.2,4.05,4,Grow with AI,3.34,0.667,"Psychiatrists are well-positioned to grow alongside AI because the rising demand for mental health care far outpaces the current supply of providers. AI tools can help psychiatrists work more efficiently—for example, by assisting with diagnostic screening, monitoring patient symptoms between visits, or analyzing treatment patterns—allowing them to reach and help more people. However, the core of psychiatry depends on deep human trust, emotional connection, and complex clinical judgment, which means AI serves as a powerful aid rather than a replacement.",https://altpath.org/discover/dm3jn2id4f6jl0al5kq148oj,Psychiatrist,
5,25-2051.00,"Special Education Teachers, Preschool",Y,https://www.onetonline.org/link/summary/25-2051.00,"$62,190 annual",Slower than average (1% to 2%),1.4,"2,100",32% Bachelor’s degree | 32% Post-baccalaureate certificate,Bachelor's degree,32%,"Early Childhood Special Education Teacher (EC Special Education Teacher), Early Interventionist, Exceptional Student Education Teacher (ESE Teacher), Intervention Specialist, Preschool Special Education Teacher, Resource Teacher, Special Education Resource Teacher, Special Education Teacher, Teacher, Teacher of the Handicapped",Teach preschool school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.,2.6,4.49,3,Less Immediate Change,3.28,0.656,"This job is hard to automate because it centers on building deep, trusting relationships with very young children who have unique physical, emotional, and developmental needs. Every child requires individualized hands-on support, real-time emotional responsiveness, and constant adaptation that AI simply cannot replicate. The work also demands close collaboration with families and therapists in unpredictable classroom environments. While job growth is expected to be slower than average due to limited funding and small class sizes, the deeply human nature of this role keeps it well-protected from automation.",https://altpath.org/discover/fx314fcsqvlve0v3zldsh45t,Preschool Special Education Teacher,
4,21-1094.00,Community Health Workers,Y,https://www.onetonline.org/link/summary/21-1094.00,"$24.54 hourly, $51,030 annual",Much faster than average (7% or higher),11.3,"7,800",Bachelor's degree,Bachelor's degree,,"Apprise Counselor, Assistant Director of Nutrition and Wellness Programs, Chief Program Officer, Community Health Outreach Worker, Community Health Program Coordinator, Community Health Program Representative (Community Health Program Rep), Community Health Promoter, Community Health Worker (CHW), Community Nutrition Educator, HIV CTS Specialist (Human Immunodeficiency Virus Counseling and Testing Services Specialist)","Assist individuals and communities to adopt healthy behaviors. Conduct outreach for medical personnel or health organizations to implement programs in the community that promote, maintain, and improve individual and community health. May provide information on available resources, provide social support and informal counseling, advocate for individuals and community health needs, and provide services such as first aid and blood pressure screening. May collect data to help identify community health needs.",3.0,3.53,4,Less Immediate Change,3.27,0.654,"Community health workers spend most of their time building personal trust with people in their neighborhoods, offering emotional support, and navigating sensitive cultural and social situations—things AI struggles to replicate. Much of the job happens out in the community, in homes, shelters, and local events, requiring real human presence and adaptability to unpredictable environments. With growing demand for preventive health outreach, especially in underserved areas, this role is projected to grow much faster than average and remains difficult to automate.",https://altpath.org/discover/v3w1znckgcprwicr92ayz4ca,Community Health Worker,
5,29-1024.00,Prosthodontists,Y,https://www.onetonline.org/link/summary/29-1024.00,"$115.00+ hourly, $239,200+ annual",Faster than average (5% to 6%),4.5,0,61% Post-doctoral training | 36% Doctoral degree,Post-doctoral training,61%,"Doctor of Dental Science, Prosthodontist, Doctor of Dental Surgery (DDS), Maxillofacial Prosthodontist, Prosthetic Dentist, Prosthodontist, Prosthodontist, Assistant Clinical Professor, Prosthodontist/Educator, Prosthodontist/Owner, Prosthodontist/Restorative/Reconstructive Dentist, Removable Prosthodontist","Construct oral prostheses to replace missing teeth and other oral structures to correct natural and acquired deformation of mouth and jaws, to restore and maintain oral function, such as chewing and speaking, and to improve appearance.",2.8,4.28,3,Less Immediate Change,3.26,0.653,"Prosthodontists perform highly skilled, hands-on work inside a patient's mouth—designing, fitting, and adjusting custom prostheses like dentures, bridges, and implants. This requires precise manual dexterity, real-time clinical judgment, and close personal interaction with patients, all of which are very difficult for AI or robots to replicate. The field is also growing faster than average due to an aging population needing more dental restoration, further strengthening demand for these specialists despite advances in digital dentistry tools.",https://altpath.org/discover/la398tqrkm5b3s6ndojl0mml,Prosthodontist,
5,29-1071.00,Physician Assistants,Y,https://www.onetonline.org/link/summary/29-1071.00,"$64.07 hourly, $133,260 annual",Much faster than average (7% or higher),20.4,"12,000",81% Master’s degree | 14% Professional degree,Master's degree,81%,"Certified Physician Assistant (PA-C), Clinical Physician Assistant, Family Practice Physician Assistant, General Surgery Physician Assistant, Midlevel Provider, Orthopaedic Physician Assistant, Physician Assistant Certified (PAC), Physician Extender, Physician's Assistant, Surgical Physician Assistant","Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",3.4,3.58,4,Grow with AI,3.26,0.652,"When AI handles routine documentation, diagnostic screening, and prescription checks, each physician assistant can see more patients in less time—and because demand for accessible healthcare far outstrips supply, that efficiency doesn't eliminate jobs but creates pressure to hire even more PAs. The role still requires hands-on physical exams, earning patient trust during sensitive conversations, and making high-stakes clinical judgments in ambiguous situations where accountability matters. With healthcare demand already growing much faster than average, AI frees PAs to focus on the complex, human-centered care that drives that expanding need.",https://altpath.org/discover/v7omcx7pwbllyh89eevk9kt3,Physician Assistant,
5,21-1013.00,Marriage and Family Therapists,Y,https://www.onetonline.org/link/summary/21-1013.00,"$30.66 hourly, $63,780 annual",Much faster than average (7% or higher),12.6,"7,700",79% Master’s degree | 10% Professional degree,Master's degree,79%,"Advanced Clinical Specialist, Clinical Services Director, Clinical Therapist, Clinician, Counselor, Family Therapist, Licensed Marriage and Family Therapist (LMFT), Marriage and Family Therapist (MFT), Psychotherapist, Therapist","Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders.",3.2,3.58,4,Grow with AI,3.25,0.651,"If AI tools make initial assessments, session notes, and treatment planning faster and cheaper, therapists can serve more clients—and the large unmet demand for mental health care means many more people will seek help. Yet the heart of this work is the trusting therapeutic relationship: clients must feel genuinely heard and emotionally safe to open up about marriage and family struggles. That deep human bond, along with the personal transformation therapists undergo alongside their clients, ensures growing demand translates into more therapists, not fewer.",https://altpath.org/discover/mmav7tjcvy39d1l6inz2mzuu,Family Therapist,
5,21-1023.00,Mental Health and Substance Abuse Social Workers,Y,https://www.onetonline.org/link/summary/21-1023.00,"$28.88 hourly, $60,060 annual",Much faster than average (7% or higher),9.7,"13,500",77% Master’s degree | 19% Bachelor’s degree,Master's degree,77%,"Case Manager, Clinical Social Worker, Clinical Therapist, Clinician, Counselor, Mental Health Therapist, Psychotherapist, Social Worker, Substance Abuse Counselor, Therapist","Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education.",3.4,3.7,4,Grow with AI,3.25,0.65,"Mental health and substance abuse social workers rely deeply on human empathy, trust, and emotional connection—qualities that AI cannot replicate. The growing demand for mental health services, driven by increased awareness and ongoing substance abuse challenges, means this field is expanding rapidly. AI tools can actually help these professionals by streamlining case management, identifying at-risk clients earlier, and supporting treatment planning, allowing social workers to spend more time on the meaningful human interactions that drive real recovery.",https://altpath.org/discover/kg95sl1nwlpf3vdxxzlucun0,Mental Health Social Worker,
5,17-1011.00,"Architects, Except Landscape and Naval",Y,https://www.onetonline.org/link/summary/17-1011.00,"$46.49 hourly, $96,690 annual",Average (3% to 4%),3.9,"7,800",43% Bachelor’s degree | 24% Master’s degree,Bachelor's degree,43%,"Architect, Architectural Project Manager, Design Architect, Principal Architect, Principal, Architectural Firm, Project Architect, Senior Architect/Design Manager, Senior Architectural Designer, Senior Planner, Specifications Writer","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.",2.8,3.53,4,Less Immediate Change,3.23,0.646,"Architects do much more than draw blueprints—they meet with clients to understand their vision, navigate complex building codes, coordinate with engineers and contractors, and make creative design decisions that balance aesthetics, safety, and practicality. These tasks require strong judgment, artistic creativity, and constant in-person collaboration, which makes the role difficult for AI to take over in the near term. While AI tools can speed up drafting and modeling, the human insight behind designing spaces where people live and work remains essential.",https://altpath.org/discover/j1vihmo5h96ij124tcwtxn29,Architect,
5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Y,https://www.onetonline.org/link/summary/29-1122.01,"$47.28 hourly, $98,340 annual",Much faster than average (7% or higher),,"10,200",57% Master’s degree | 22% Post-baccalaureate certificate,Master's degree,57%,"Certified Low Vision Therapist, Certified Orientation & Mobility Specialist, Certified Orientation and Mobility Specialist (COMS), Mobility Specialist, Orientation & Mobility Specialist, Orientation and Mobility Instructor, Orientation and Mobility Specialist, Teacher of Students with Visual Impairments (TVI), Teacher of the Visually Impaired, Vision Rehabilitation Therapist (VRT)","Provide therapy to patients with visual impairments to improve their functioning in daily life activities. May train patients in activities such as computer use, communication skills, or home management skills.",2.8,4.37,3,Less Immediate Change,3.23,0.645,"This job involves working one-on-one with patients who have visual impairments, helping them navigate real-world environments and master everyday tasks like cooking, moving safely through spaces, and using technology. The deeply personal, hands-on nature of this work—adapting guidance to each patient's unique home, lifestyle, and emotional needs—makes it very difficult for AI to replicate. With an aging population driving strong demand, these specialists are well-positioned for continued growth, as their role requires physical presence, trust, and real-time problem-solving in unpredictable settings.",https://altpath.org/discover/ipidj2ker1very72fol9ph6v,Vision Therapist,
4,29-1141.00,Registered Nurses,Y,https://www.onetonline.org/link/summary/29-1141.00,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),4.9,"189,100",Bachelor's degree,Bachelor's degree,,"Charge Nurse, Director of Nursing (DON), Emergency Department RN (Emergency Department Registered Nurse), Oncology RN (Oncology Registered Nurse), Operating Room Registered Nurse (OR RN), Public Health Nurse (PHN), Registered Nurse (RN), School Nurse, Staff Nurse, Staff RN (Staff Registered Nurse)","Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.",3.4,4.32,3,Will Evolve,3.22,0.644,"Nursing requires hands-on patient care, emotional support, and quick clinical judgment in unpredictable situations—skills that AI cannot replace. However, AI will reshape many day-to-day tasks, such as monitoring vital signs, updating medical records, and flagging early warning signs, freeing nurses to focus more on direct patient interaction and complex decision-making. With an aging population driving faster-than-average job growth, demand for registered nurses will remain strong even as the tools they use become increasingly automated.",https://altpath.org/discover/hs3syq7tx2fl1i1crxxjvf1j,Registered Nurse,
5,29-1131.00,Veterinarians,Y,https://www.onetonline.org/link/summary/29-1131.00,"$60.34 hourly, $125,510 annual",Much faster than average (7% or higher),9.6,"3,000",79% Doctoral degree | 12% Post-doctoral training,Doctoral degree,79%,"Associate Veterinarian, Doctor of Veterinary Medicine (DVM), Emergency Veterinarian, Equine Vet (Equine Veterinarian), Mixed Animal Veterinarian, Small Animal Veterinarian, Staff Veterinarian, Veterinarian (VET), Veterinary Medicine Doctor (DVM), Veterinary Surgeon","Diagnose, treat, or research diseases and injuries of animals. Includes veterinarians who conduct research and development, inspect livestock, or care for pets and companion animals.",3.2,4.28,3,Will Evolve,3.2,0.64,"Veterinarians will continue to be essential because their work requires hands-on physical examinations, complex surgical procedures, and compassionate communication with pet owners—tasks that AI cannot replace. However, AI will reshape daily routines by improving diagnostic imaging analysis, assisting with treatment recommendations, and streamlining medical record-keeping. Strong demand driven by growing pet ownership and livestock care needs means the profession is projected to grow much faster than average, even as veterinarians increasingly use AI tools to work more efficiently and accurately.",https://altpath.org/discover/p25xpyk8a3j5urrlv41jdknh,Veterinarian,
5,29-2091.00,Orthotists and Prosthetists,Y,https://www.onetonline.org/link/summary/29-2091.00,"$37.65 hourly, $78,310 annual",Much faster than average (7% or higher),13.3,900,90% Master’s degree | 5% Bachelor’s degree,Master's degree,90%,"American Board Certified Orthotist (ABC Orthotist), Certified Orthotist (CO), Certified Prosthetist (CP), Certified Prosthetist/Orthotist (CPO), Licensed Prosthetist/Orthotist (LPO), Orthotic/Prosthetic Practitioner, Orthotist, Orthotist/Prosthetist, Pedorthist, Prosthetist","Design, measure, fit, and adapt orthopedic braces, appliances or prostheses, such as limbs or facial parts for patients with disabling conditions.",2.6,3.89,3,Less Immediate Change,3.18,0.635,"Orthotists and prosthetists work hands-on with patients, carefully measuring, fitting, and adjusting custom devices like artificial limbs and braces to each person's unique body and needs. This combination of skilled physical craftsmanship, clinical judgment, and compassionate patient interaction makes the role very difficult for AI to replicate. With an aging population and advances in prosthetic technology driving strong demand, the field is projected to grow much faster than average, and the deeply personal nature of the work keeps it well insulated from automation.",https://altpath.org/discover/kozgxc3c1o9mcrtbh1xsz2rk,Orthotist,
5,29-1242.00,"Orthopedic Surgeons, Except Pediatric",Y,https://www.onetonline.org/link/summary/29-1242.00,"$115.00+ hourly, $239,200+ annual",Average (3% to 4%),4.1,400,Master's degree,Master's degree,,"General Surgeon, Hand Surgeon, Orthopaedic Surgeon, Orthopedic Surgeon, Physician, Surgeon",Diagnose and perform surgery to treat and prevent rheumatic and other diseases in the musculoskeletal system.,2.8,4.28,3,Less Immediate Change,3.17,0.634,"Orthopedic surgery is very difficult to automate because it requires highly skilled hands-on work—physically operating on bones, joints, and muscles in unpredictable surgical situations that demand real-time judgment. Building trust with patients, making complex diagnostic decisions, and adapting techniques during surgery all rely on deep human expertise and interpersonal connection. While AI may eventually help with imaging analysis or surgical planning, the core hands-on nature of this work keeps it well-protected from automation for the foreseeable future.",https://altpath.org/discover/wuhyb1acw1ktz14yyyyb26n7,Orthopedic Surgeon,
