Job Zone,Code,Occupation,Data-level,url
3,49-3011.00,Aircraft Mechanics and Service Technicians,Y,https://www.onetonline.org/link/summary/49-3011.00
2,53-6032.00,Aircraft Service Attendants,Y,https://www.onetonline.org/link/summary/53-6032.00
2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Y,https://www.onetonline.org/link/summary/51-2011.00
3,53-2022.00,Airfield Operations Specialists,Y,https://www.onetonline.org/link/summary/53-2022.00
4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Y,https://www.onetonline.org/link/summary/53-2011.00
5,29-1229.01,Allergists and Immunologists,Y,https://www.onetonline.org/link/summary/29-1229.01
2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Y,https://www.onetonline.org/link/summary/53-3011.00
1,39-3091.00,Amusement and Recreation Attendants,Y,https://www.onetonline.org/link/summary/39-3091.00
5,29-1071.01,Anesthesiologist Assistants,Y,https://www.onetonline.org/link/summary/29-1071.01
5,29-1211.00,Anesthesiologists,Y,https://www.onetonline.org/link/summary/29-1211.00
2,45-2021.00,Animal Breeders,Y,https://www.onetonline.org/link/summary/45-2021.00
2,39-2021.00,Animal Caretakers,Y,https://www.onetonline.org/link/summary/39-2021.00
2,33-9011.00,Animal Control Workers,Y,https://www.onetonline.org/link/summary/33-9011.00
5,19-1011.00,Animal Scientists,Y,https://www.onetonline.org/link/summary/19-1011.00
2,39-2011.00,Animal Trainers,Y,https://www.onetonline.org/link/summary/39-2011.00
5,19-3091.00,Anthropologists and Archeologists,Y,https://www.onetonline.org/link/summary/19-3091.00
5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1061.00
4,13-2023.00,Appraisers and Assessors of Real Estate,Y,https://www.onetonline.org/link/summary/13-2023.00
4,13-2022.00,Appraisers of Personal and Business Property,Y,https://www.onetonline.org/link/summary/13-2022.00
5,23-1022.00,"Arbitrators, Mediators, and Conciliators",Y,https://www.onetonline.org/link/summary/23-1022.00
5,17-1011.00,"Architects, Except Landscape and Naval",Y,https://www.onetonline.org/link/summary/17-1011.00
3,17-3011.00,Architectural and Civil Drafters,Y,https://www.onetonline.org/link/summary/17-3011.00
5,11-9041.00,Architectural and Engineering Managers,Y,https://www.onetonline.org/link/summary/11-9041.00
5,25-1031.00,"Architecture Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1031.00
5,25-4011.00,Archivists,Y,https://www.onetonline.org/link/summary/25-4011.00
5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1062.00
n/a,55-3013.00,Armored Assault Vehicle Crew Members,,https://www.onetonline.org/link/summary/55-3013.00
n/a,55-1013.00,Armored Assault Vehicle Officers,,https://www.onetonline.org/link/summary/55-1013.00
4,27-1011.00,Art Directors,Y,https://www.onetonline.org/link/summary/27-1011.00
5,29-1129.01,Art Therapists,Y,https://www.onetonline.org/link/summary/29-1129.01
5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1121.00
n/a,55-3014.00,Artillery and Missile Crew Members,,https://www.onetonline.org/link/summary/55-3014.00
n/a,55-1014.00,Artillery and Missile Officers,,https://www.onetonline.org/link/summary/55-1014.00
n/a,27-1019.00,"Artists and Related Workers, All Other",,https://www.onetonline.org/link/summary/27-1019.00
n/a,51-2099.00,"Assemblers and Fabricators, All Other",,https://www.onetonline.org/link/summary/51-2099.00
5,19-2011.00,Astronomers,Y,https://www.onetonline.org/link/summary/19-2011.00
2,27-2021.00,Athletes and Sports Competitors,Y,https://www.onetonline.org/link/summary/27-2021.00
5,29-9091.00,Athletic Trainers,Y,https://www.onetonline.org/link/summary/29-9091.00
4,19-2021.00,Atmospheric and Space Scientists,Y,https://www.onetonline.org/link/summary/19-2021.00
5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1051.00
3,27-4011.00,Audio and Video Technicians,Y,https://www.onetonline.org/link/summary/27-4011.00
5,29-1181.00,Audiologists,Y,https://www.onetonline.org/link/summary/29-1181.00
3,49-2097.00,Audiovisual Equipment Installers and Repairers,Y,https://www.onetonline.org/link/summary/49-2097.00
2,53-6031.00,Automotive and Watercraft Service Attendants,Y,https://www.onetonline.org/link/summary/53-6031.00
2,49-3021.00,Automotive Body and Related Repairers,Y,https://www.onetonline.org/link/summary/49-3021.00
3,17-3027.01,Automotive Engineering Technicians,Y,https://www.onetonline.org/link/summary/17-3027.01
4,17-2141.02,Automotive Engineers,Y,https://www.onetonline.org/link/summary/17-2141.02
2,49-3022.00,Automotive Glass Installers and Repairers,Y,https://www.onetonline.org/link/summary/49-3022.00
3,49-3023.00,Automotive Service Technicians and Mechanics,Y,https://www.onetonline.org/link/summary/49-3023.00
3,53-6051.01,Aviation Inspectors,Y,https://www.onetonline.org/link/summary/53-6051.01
3,49-2091.00,Avionics Technicians,Y,https://www.onetonline.org/link/summary/49-2091.00
2,39-6011.00,Baggage Porters and Bellhops,Y,https://www.onetonline.org/link/summary/39-6011.00
3,33-3011.00,Bailiffs,Y,https://www.onetonline.org/link/summary/33-3011.00
2,51-3011.00,Bakers,Y,https://www.onetonline.org/link/summary/51-3011.00
3,39-5011.00,Barbers,Y,https://www.onetonline.org/link/summary/39-5011.00
1,35-3023.01,Baristas,Y,https://www.onetonline.org/link/summary/35-3023.01
2,35-3011.00,Bartenders,Y,https://www.onetonline.org/link/summary/35-3011.00
2,49-3091.00,Bicycle Repairers,Y,https://www.onetonline.org/link/summary/49-3091.00
2,43-3011.00,Bill and Account Collectors,Y,https://www.onetonline.org/link/summary/43-3011.00
3,43-3021.00,Billing and Posting Clerks,Y,https://www.onetonline.org/link/summary/43-3021.00
5,19-1021.00,Biochemists and Biophysicists,Y,https://www.onetonline.org/link/summary/19-1021.00
4,17-2031.00,Bioengineers and Biomedical Engineers,Y,https://www.onetonline.org/link/summary/17-2031.00
2,51-8099.01,Biofuels Processing Technicians,Y,https://www.onetonline.org/link/summary/51-8099.01
4,11-3051.03,Biofuels Production Managers,Y,https://www.onetonline.org/link/summary/11-3051.03
4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Y,https://www.onetonline.org/link/summary/11-9041.01
5,19-1029.01,Bioinformatics Scientists,Y,https://www.onetonline.org/link/summary/19-1029.01
4,15-2099.01,Bioinformatics Technicians,Y,https://www.onetonline.org/link/summary/15-2099.01
5,25-1042.00,"Biological Science Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1042.00
n/a,19-1029.00,"Biological Scientists, All Other",,https://www.onetonline.org/link/summary/19-1029.00
4,19-4021.00,Biological Technicians,Y,https://www.onetonline.org/link/summary/19-4021.00
5,19-1029.04,Biologists,Y,https://www.onetonline.org/link/summary/19-1029.04
2,51-8013.03,Biomass Plant Technicians,Y,https://www.onetonline.org/link/summary/51-8013.03
4,11-3051.04,Biomass Power Plant Managers,Y,https://www.onetonline.org/link/summary/11-3051.04
5,15-2041.01,Biostatisticians,Y,https://www.onetonline.org/link/summary/15-2041.01
4,15-1299.07,Blockchain Engineers,Y,https://www.onetonline.org/link/summary/15-1299.07
2,47-2011.00,Boilermakers,Y,https://www.onetonline.org/link/summary/47-2011.00
3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Y,https://www.onetonline.org/link/summary/43-3031.00
2,47-2021.00,Brickmasons and Blockmasons,Y,https://www.onetonline.org/link/summary/47-2021.00
2,53-6011.00,Bridge and Lock Tenders,Y,https://www.onetonline.org/link/summary/53-6011.00
4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Y,https://www.onetonline.org/link/summary/27-3011.00
3,27-4012.00,Broadcast Technicians,Y,https://www.onetonline.org/link/summary/27-4012.00
3,43-4011.00,Brokerage Clerks,Y,https://www.onetonline.org/link/summary/43-4011.00
4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Y,https://www.onetonline.org/link/summary/11-9199.11
4,13-2031.00,Budget Analysts,Y,https://www.onetonline.org/link/summary/13-2031.00
n/a,37-2019.00,"Building Cleaning Workers, All Other",,https://www.onetonline.org/link/summary/37-2019.00
3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Y,https://www.onetonline.org/link/summary/49-3031.00
2,53-3051.00,"Bus Drivers, School",Y,https://www.onetonline.org/link/summary/53-3051.00
2,53-3052.00,"Bus Drivers, Transit and Intercity",Y,https://www.onetonline.org/link/summary/53-3052.00
4,13-1199.04,Business Continuity Planners,Y,https://www.onetonline.org/link/summary/13-1199.04
4,15-2051.01,Business Intelligence Analysts,Y,https://www.onetonline.org/link/summary/15-2051.01
n/a,13-1199.00,"Business Operations Specialists, All Other",,https://www.onetonline.org/link/summary/13-1199.00
5,25-1011.00,"Business Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1011.00
2,51-3021.00,Butchers and Meat Cutters,Y,https://www.onetonline.org/link/summary/51-3021.00
4,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Y,https://www.onetonline.org/link/summary/13-1021.00
2,51-7011.00,Cabinetmakers and Bench Carpenters,Y,https://www.onetonline.org/link/summary/51-7011.00
3,17-3028.00,Calibration Technologists and Technicians,Y,https://www.onetonline.org/link/summary/17-3028.00
3,49-9061.00,Camera and Photographic Equipment Repairers,Y,https://www.onetonline.org/link/summary/49-9061.00
3,27-4031.00,"Camera Operators, Television, Video, and Film",Y,https://www.onetonline.org/link/summary/27-4031.00
3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Y,https://www.onetonline.org/link/summary/53-5021.00
5,29-1212.00,Cardiologists,Y,https://www.onetonline.org/link/summary/29-1212.00
3,29-2031.00,Cardiovascular Technologists and Technicians,Y,https://www.onetonline.org/link/summary/29-2031.00
4,25-2023.00,"Career/Technical Education Teachers, Middle School",Y,https://www.onetonline.org/link/summary/25-2023.00
3,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1194.00
4,25-2032.00,"Career/Technical Education Teachers, Secondary School",Y,https://www.onetonline.org/link/summary/25-2032.00
2,43-5011.00,Cargo and Freight Agents,Y,https://www.onetonline.org/link/summary/43-5011.00
2,47-2031.00,Carpenters,Y,https://www.onetonline.org/link/summary/47-2031.00
2,47-2041.00,Carpet Installers,Y,https://www.onetonline.org/link/summary/47-2041.00
4,17-1021.00,Cartographers and Photogrammetrists,Y,https://www.onetonline.org/link/summary/17-1021.00
2,41-2011.00,Cashiers,Y,https://www.onetonline.org/link/summary/41-2011.00
1,47-2051.00,Cement Masons and Concrete Finishers,Y,https://www.onetonline.org/link/summary/47-2051.00
3,35-1011.00,Chefs and Head Cooks,Y,https://www.onetonline.org/link/summary/35-1011.00
4,17-2041.00,Chemical Engineers,Y,https://www.onetonline.org/link/summary/17-2041.00
2,51-9011.00,Chemical Equipment Operators and Tenders,Y,https://www.onetonline.org/link/summary/51-9011.00
2,51-8091.00,Chemical Plant and System Operators,Y,https://www.onetonline.org/link/summary/51-8091.00
3,19-4031.00,Chemical Technicians,Y,https://www.onetonline.org/link/summary/19-4031.00
5,25-1052.00,"Chemistry Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1052.00
4,19-2031.00,Chemists,Y,https://www.onetonline.org/link/summary/19-2031.00
5,11-1011.00,Chief Executives,Y,https://www.onetonline.org/link/summary/11-1011.00
5,11-1011.03,Chief Sustainability Officers,Y,https://www.onetonline.org/link/summary/11-1011.03
4,21-1021.00,"Child, Family, and School Social Workers",Y,https://www.onetonline.org/link/summary/21-1021.00
2,39-9011.00,Childcare Workers,Y,https://www.onetonline.org/link/summary/39-9011.00
5,29-1011.00,Chiropractors,Y,https://www.onetonline.org/link/summary/29-1011.00
3,27-2032.00,Choreographers,Y,https://www.onetonline.org/link/summary/27-2032.00
3,17-3022.00,Civil Engineering Technologists and Technicians,Y,https://www.onetonline.org/link/summary/17-3022.00
4,17-2051.00,Civil Engineers,Y,https://www.onetonline.org/link/summary/17-2051.00
4,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Y,https://www.onetonline.org/link/summary/13-1031.00
2,53-7061.00,Cleaners of Vehicles and Equipment,Y,https://www.onetonline.org/link/summary/53-7061.00
2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Y,https://www.onetonline.org/link/summary/51-9192.00
5,21-2011.00,Clergy,Y,https://www.onetonline.org/link/summary/21-2011.00
5,19-2041.01,Climate Change Policy Analysts,Y,https://www.onetonline.org/link/summary/19-2041.01
5,19-3033.00,Clinical and Counseling Psychologists,Y,https://www.onetonline.org/link/summary/19-3033.00
4,15-2051.02,Clinical Data Managers,Y,https://www.onetonline.org/link/summary/15-2051.02
5,19-3039.03,Clinical Neuropsychologists,Y,https://www.onetonline.org/link/summary/19-3039.03
5,29-1141.04,Clinical Nurse Specialists,Y,https://www.onetonline.org/link/summary/29-1141.04
4,11-9121.01,Clinical Research Coordinators,Y,https://www.onetonline.org/link/summary/11-9121.01
4,27-2022.00,Coaches and Scouts,Y,https://www.onetonline.org/link/summary/27-2022.00
2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Y,https://www.onetonline.org/link/summary/51-9124.00
2,51-2021.00,"Coil Winders, Tapers, and Finishers",Y,https://www.onetonline.org/link/summary/51-2021.00
2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",Y,https://www.onetonline.org/link/summary/49-9091.00
n/a,55-1015.00,Command and Control Center Officers,,https://www.onetonline.org/link/summary/55-1015.00
n/a,55-3015.00,Command and Control Center Specialists,,https://www.onetonline.org/link/summary/55-3015.00
4,27-1021.00,Commercial and Industrial Designers,Y,https://www.onetonline.org/link/summary/27-1021.00
3,49-9092.00,Commercial Divers,Y,https://www.onetonline.org/link/summary/49-9092.00
3,53-2012.00,Commercial Pilots,Y,https://www.onetonline.org/link/summary/53-2012.00
n/a,43-2099.00,"Communications Equipment Operators, All Other",,https://www.onetonline.org/link/summary/43-2099.00
5,25-1122.00,"Communications Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1122.00
n/a,21-1099.00,"Community and Social Service Specialists, All Other",,https://www.onetonline.org/link/summary/21-1099.00
4,21-1094.00,Community Health Workers,Y,https://www.onetonline.org/link/summary/21-1094.00
4,11-3111.00,Compensation and Benefits Managers,Y,https://www.onetonline.org/link/summary/11-3111.00
4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Y,https://www.onetonline.org/link/summary/13-1141.00
4,11-9199.02,Compliance Managers,Y,https://www.onetonline.org/link/summary/11-9199.02
4,13-1041.00,Compliance Officers,Y,https://www.onetonline.org/link/summary/13-1041.00
5,15-1221.00,Computer and Information Research Scientists,Y,https://www.onetonline.org/link/summary/15-1221.00
4,11-3021.00,Computer and Information Systems Managers,Y,https://www.onetonline.org/link/summary/11-3021.00
4,17-2061.00,Computer Hardware Engineers,Y,https://www.onetonline.org/link/summary/17-2061.00
4,15-1241.00,Computer Network Architects,Y,https://www.onetonline.org/link/summary/15-1241.00
4,15-1231.00,Computer Network Support Specialists,Y,https://www.onetonline.org/link/summary/15-1231.00
2,51-9161.00,Computer Numerically Controlled Tool Operators,Y,https://www.onetonline.org/link/summary/51-9161.00
2,51-9162.00,Computer Numerically Controlled Tool Programmers,Y,https://www.onetonline.org/link/summary/51-9162.00
n/a,15-1299.00,"Computer Occupations, All Other",,https://www.onetonline.org/link/summary/15-1299.00
4,15-1251.00,Computer Programmers,Y,https://www.onetonline.org/link/summary/15-1251.00
5,25-1021.00,"Computer Science Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1021.00
3,15-1211.00,Computer Systems Analysts,Y,https://www.onetonline.org/link/summary/15-1211.00
3,15-1299.08,Computer Systems Engineers/Architects,Y,https://www.onetonline.org/link/summary/15-1299.08
3,15-1232.00,Computer User Support Specialists,Y,https://www.onetonline.org/link/summary/15-1232.00
3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Y,https://www.onetonline.org/link/summary/49-2011.00
2,39-6012.00,Concierges,Y,https://www.onetonline.org/link/summary/39-6012.00
4,19-1031.00,Conservation Scientists,Y,https://www.onetonline.org/link/summary/19-1031.00
3,47-4011.00,Construction and Building Inspectors,Y,https://www.onetonline.org/link/summary/47-4011.00
n/a,47-4099.00,"Construction and Related Workers, All Other",,https://www.onetonline.org/link/summary/47-4099.00
2,47-2061.00,Construction Laborers,Y,https://www.onetonline.org/link/summary/47-2061.00
4,11-9021.00,Construction Managers,Y,https://www.onetonline.org/link/summary/11-9021.00
2,47-5041.00,Continuous Mining Machine Operators,Y,https://www.onetonline.org/link/summary/47-5041.00
3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Y,https://www.onetonline.org/link/summary/49-9012.00
1,53-7011.00,Conveyor Operators and Tenders,Y,https://www.onetonline.org/link/summary/53-7011.00
n/a,35-2019.00,"Cooks, All Other",,https://www.onetonline.org/link/summary/35-2019.00
1,35-2011.00,"Cooks, Fast Food",Y,https://www.onetonline.org/link/summary/35-2011.00
2,35-2012.00,"Cooks, Institution and Cafeteria",Y,https://www.onetonline.org/link/summary/35-2012.00
3,35-2013.00,"Cooks, Private Household",Y,https://www.onetonline.org/link/summary/35-2013.00
2,35-2014.00,"Cooks, Restaurant",Y,https://www.onetonline.org/link/summary/35-2014.00
2,35-2015.00,"Cooks, Short Order",Y,https://www.onetonline.org/link/summary/35-2015.00
2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,Y,https://www.onetonline.org/link/summary/51-9193.00
3,13-1041.06,Coroners,Y,https://www.onetonline.org/link/summary/13-1041.06
2,33-3012.00,Correctional Officers and Jailers,Y,https://www.onetonline.org/link/summary/33-3012.00
2,43-4021.00,Correspondence Clerks,Y,https://www.onetonline.org/link/summary/43-4021.00
4,13-1051.00,Cost Estimators,Y,https://www.onetonline.org/link/summary/13-1051.00
2,39-3092.00,Costume Attendants,Y,https://www.onetonline.org/link/summary/39-3092.00
n/a,21-1019.00,"Counselors, All Other",,https://www.onetonline.org/link/summary/21-1019.00
2,41-2021.00,Counter and Rental Clerks,Y,https://www.onetonline.org/link/summary/41-2021.00
2,43-5021.00,Couriers and Messengers,Y,https://www.onetonline.org/link/summary/43-5021.00
3,27-3092.00,Court Reporters and Simultaneous Captioners,Y,https://www.onetonline.org/link/summary/27-3092.00
2,43-4031.00,"Court, Municipal, and License Clerks",Y,https://www.onetonline.org/link/summary/43-4031.00
3,27-1012.00,Craft Artists,Y,https://www.onetonline.org/link/summary/27-1012.00
3,53-7021.00,Crane and Tower Operators,Y,https://www.onetonline.org/link/summary/53-7021.00
4,13-2041.00,Credit Analysts,Y,https://www.onetonline.org/link/summary/13-2041.00
2,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Y,https://www.onetonline.org/link/summary/43-4041.00
4,13-2071.00,Credit Counselors,Y,https://www.onetonline.org/link/summary/13-2071.00
2,39-4012.00,Crematory Operators,Y,https://www.onetonline.org/link/summary/39-4012.00
5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1111.00
4,29-1141.03,Critical Care Nurses,Y,https://www.onetonline.org/link/summary/29-1141.03
2,33-9091.00,Crossing Guards and Flaggers,Y,https://www.onetonline.org/link/summary/33-9091.00
2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Y,https://www.onetonline.org/link/summary/51-9021.00
5,25-4012.00,Curators,Y,https://www.onetonline.org/link/summary/25-4012.00
2,43-4051.00,Customer Service Representatives,Y,https://www.onetonline.org/link/summary/43-4051.00
3,33-3051.04,Customs and Border Protection Officers,Y,https://www.onetonline.org/link/summary/33-3051.04
3,13-1041.08,Customs Brokers,Y,https://www.onetonline.org/link/summary/13-1041.08
1,51-9031.00,"Cutters and Trimmers, Hand",Y,https://www.onetonline.org/link/summary/51-9031.00
2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Y,https://www.onetonline.org/link/summary/51-9032.00
2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Y,https://www.onetonline.org/link/summary/51-4031.00
4,29-2011.01,Cytogenetic Technologists,Y,https://www.onetonline.org/link/summary/29-2011.01
5,29-2011.02,Cytotechnologists,Y,https://www.onetonline.org/link/summary/29-2011.02
3,27-2031.00,Dancers,Y,https://www.onetonline.org/link/summary/27-2031.00
2,43-9021.00,Data Entry Keyers,Y,https://www.onetonline.org/link/summary/43-9021.00
4,15-2051.00,Data Scientists,Y,https://www.onetonline.org/link/summary/15-2051.00
4,15-1243.01,Data Warehousing Specialists,Y,https://www.onetonline.org/link/summary/15-1243.01
4,15-1242.00,Database Administrators,Y,https://www.onetonline.org/link/summary/15-1242.00
4,15-1243.00,Database Architects,Y,https://www.onetonline.org/link/summary/15-1243.00
2,41-9011.00,Demonstrators and Product Promoters,Y,https://www.onetonline.org/link/summary/41-9011.00
3,31-9091.00,Dental Assistants,Y,https://www.onetonline.org/link/summary/31-9091.00
3,29-1292.00,Dental Hygienists,Y,https://www.onetonline.org/link/summary/29-1292.00
2,51-9081.00,Dental Laboratory Technicians,Y,https://www.onetonline.org/link/summary/51-9081.00
n/a,29-1029.00,"Dentists, All Other Specialists",,https://www.onetonline.org/link/summary/29-1029.00
5,29-1021.00,"Dentists, General",Y,https://www.onetonline.org/link/summary/29-1021.00
5,29-1213.00,Dermatologists,Y,https://www.onetonline.org/link/summary/29-1213.00
1,47-5011.00,"Derrick Operators, Oil and Gas",Y,https://www.onetonline.org/link/summary/47-5011.00
n/a,27-1029.00,"Designers, All Other",,https://www.onetonline.org/link/summary/27-1029.00
3,43-9031.00,Desktop Publishers,Y,https://www.onetonline.org/link/summary/43-9031.00
3,33-3021.00,Detectives and Criminal Investigators,Y,https://www.onetonline.org/link/summary/33-3021.00
3,29-2032.00,Diagnostic Medical Sonographers,Y,https://www.onetonline.org/link/summary/29-2032.00
3,29-2051.00,Dietetic Technicians,Y,https://www.onetonline.org/link/summary/29-2051.00
5,29-1031.00,Dietitians and Nutritionists,Y,https://www.onetonline.org/link/summary/29-1031.00
4,15-1299.06,Digital Forensics Analysts,Y,https://www.onetonline.org/link/summary/15-1299.06
1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Y,https://www.onetonline.org/link/summary/35-9011.00
4,21-2021.00,"Directors, Religious Activities and Education",Y,https://www.onetonline.org/link/summary/21-2021.00
2,27-2091.00,"Disc Jockeys, Except Radio",Y,https://www.onetonline.org/link/summary/27-2091.00
1,35-9021.00,Dishwashers,Y,https://www.onetonline.org/link/summary/35-9021.00
2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Y,https://www.onetonline.org/link/summary/43-5032.00
4,15-1299.03,Document Management Specialists,Y,https://www.onetonline.org/link/summary/15-1299.03
1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Y,https://www.onetonline.org/link/summary/41-9091.00
n/a,17-3019.00,"Drafters, All Other",,https://www.onetonline.org/link/summary/17-3019.00
2,53-7031.00,Dredge Operators,Y,https://www.onetonline.org/link/summary/53-7031.00
2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Y,https://www.onetonline.org/link/summary/51-4032.00
2,53-3031.00,Driver/Sales Workers,Y,https://www.onetonline.org/link/summary/53-3031.00
2,47-2081.00,Drywall and Ceiling Tile Installers,Y,https://www.onetonline.org/link/summary/47-2081.00
2,47-5023.00,"Earth Drillers, Except Oil and Gas",Y,https://www.onetonline.org/link/summary/47-5023.00
5,25-1063.00,"Economics Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1063.00
5,19-3011.00,Economists,Y,https://www.onetonline.org/link/summary/19-3011.00
4,27-3041.00,Editors,Y,https://www.onetonline.org/link/summary/27-3041.00
n/a,11-9039.00,"Education Administrators, All Other",,https://www.onetonline.org/link/summary/11-9039.00
5,11-9032.00,"Education Administrators, Kindergarten through Secondary",Y,https://www.onetonline.org/link/summary/11-9032.00
5,11-9033.00,"Education Administrators, Postsecondary",Y,https://www.onetonline.org/link/summary/11-9033.00
4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Y,https://www.onetonline.org/link/summary/11-9031.00
5,25-1081.00,"Education Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1081.00
n/a,25-9099.00,"Educational Instruction and Library Workers, All Other",,https://www.onetonline.org/link/summary/25-9099.00
5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Y,https://www.onetonline.org/link/summary/21-1012.00
3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Y,https://www.onetonline.org/link/summary/49-2092.00
3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Y,https://www.onetonline.org/link/summary/17-3023.00
