year,state_code,state_name,topic,share_of_messages
2025,IA,Iowa,Multimedia,0.079
2025,IA,Iowa,Other/Unknown,0.035
2025,IA,Iowa,Practical Guidance,0.310
2025,IA,Iowa,Seeking information,0.145
2025,IA,Iowa,Self-expression,0.075
2025,IA,Iowa,Technical help,0.090
2025,IA,Iowa,Writing,0.266
2025,ID,Idaho,Multimedia,0.057
2025,ID,Idaho,Other/Unknown,0.045
2025,ID,Idaho,Practical Guidance,0.327
2025,ID,Idaho,Seeking information,0.165
2025,ID,Idaho,Self-expression,0.069
2025,ID,Idaho,Technical help,0.070
2025,ID,Idaho,Writing,0.267
2025,IL,Illinois,Multimedia,0.053
2025,IL,Illinois,Other/Unknown,0.039
2025,IL,Illinois,Practical Guidance,0.280
2025,IL,Illinois,Seeking information,0.192
2025,IL,Illinois,Self-expression,0.080
2025,IL,Illinois,Technical help,0.073
2025,IL,Illinois,Writing,0.282
2025,IN,Indiana,Multimedia,0.069
2025,IN,Indiana,Other/Unknown,0.042
2025,IN,Indiana,Practical Guidance,0.314
2025,IN,Indiana,Seeking information,0.187
2025,IN,Indiana,Self-expression,0.084
2025,IN,Indiana,Technical help,0.067
2025,IN,Indiana,Writing,0.237
2025,KS,Kansas,Multimedia,0.075
2025,KS,Kansas,Other/Unknown,0.052
2025,KS,Kansas,Practical Guidance,0.285
2025,KS,Kansas,Seeking information,0.204
2025,KS,Kansas,Self-expression,0.072
2025,KS,Kansas,Technical help,0.074
2025,KS,Kansas,Writing,0.238
2025,KY,Kentucky,Multimedia,0.062
2025,KY,Kentucky,Other/Unknown,0.034
2025,KY,Kentucky,Practical Guidance,0.295
2025,KY,Kentucky,Seeking information,0.192
2025,KY,Kentucky,Self-expression,0.082
2025,KY,Kentucky,Technical help,0.066
2025,KY,Kentucky,Writing,0.269
2025,LA,Louisiana,Multimedia,0.066
2025,LA,Louisiana,Other/Unknown,0.034
2025,LA,Louisiana,Practical Guidance,0.295
2025,LA,Louisiana,Seeking information,0.187
2025,LA,Louisiana,Self-expression,0.093
2025,LA,Louisiana,Technical help,0.066
2025,LA,Louisiana,Writing,0.259
2025,MA,Massachusetts,Multimedia,0.049
2025,MA,Massachusetts,Other/Unknown,0.039
2025,MA,Massachusetts,Practical Guidance,0.292
2025,MA,Massachusetts,Seeking information,0.184
2025,MA,Massachusetts,Self-expression,0.075
2025,MA,Massachusetts,Technical help,0.085
2025,MA,Massachusetts,Writing,0.276
2025,MD,Maryland,Multimedia,0.049
2025,MD,Maryland,Other/Unknown,0.037
2025,MD,Maryland,Practical Guidance,0.296
2025,MD,Maryland,Seeking information,0.164
2025,MD,Maryland,Self-expression,0.087
2025,MD,Maryland,Technical help,0.070
2025,MD,Maryland,Writing,0.296
2025,ME,Maine,Multimedia,0.058
2025,ME,Maine,Other/Unknown,0.028
2025,ME,Maine,Practical Guidance,0.247
2025,ME,Maine,Seeking information,0.215
2025,ME,Maine,Self-expression,0.064
2025,ME,Maine,Technical help,0.077
2025,ME,Maine,Writing,0.312
2025,MI,Michigan,Multimedia,0.052
2025,MI,Michigan,Other/Unknown,0.044
2025,MI,Michigan,Practical Guidance,0.322
2025,MI,Michigan,Seeking information,0.179
2025,MI,Michigan,Self-expression,0.089
2025,MI,Michigan,Technical help,0.071
2025,MI,Michigan,Writing,0.243
2025,MN,Minnesota,Multimedia,0.047
2025,MN,Minnesota,Other/Unknown,0.044
2025,MN,Minnesota,Practical Guidance,0.304
2025,MN,Minnesota,Seeking information,0.186
2025,MN,Minnesota,Self-expression,0.088
2025,MN,Minnesota,Technical help,0.060
2025,MN,Minnesota,Writing,0.270
2025,MO,Missouri,Multimedia,0.062
2025,MO,Missouri,Other/Unknown,0.040
2025,MO,Missouri,Practical Guidance,0.308
2025,MO,Missouri,Seeking information,0.183
2025,MO,Missouri,Self-expression,0.098
2025,MO,Missouri,Technical help,0.067
2025,MO,Missouri,Writing,0.241
2025,MS,Mississippi,Multimedia,0.066
2025,MS,Mississippi,Other/Unknown,0.045
2025,MS,Mississippi,Practical Guidance,0.336
2025,MS,Mississippi,Seeking information,0.179
2025,MS,Mississippi,Self-expression,0.080
2025,MS,Mississippi,Technical help,0.046
2025,MS,Mississippi,Writing,0.248
2025,MT,Montana,Multimedia,0.059
2025,MT,Montana,Other/Unknown,0.027
2025,MT,Montana,Practical Guidance,0.294
2025,MT,Montana,Seeking information,0.174
2025,MT,Montana,Self-expression,0.070
2025,MT,Montana,Technical help,0.086
2025,MT,Montana,Writing,0.289
2025,NC,North Carolina,Multimedia,0.058
2025,NC,North Carolina,Other/Unknown,0.036
2025,NC,North Carolina,Practical Guidance,0.308
2025,NC,North Carolina,Seeking information,0.176
2025,NC,North Carolina,Self-expression,0.083
2025,NC,North Carolina,Technical help,0.072
2025,NC,North Carolina,Writing,0.268
2025,ND,North Dakota,Multimedia,0.065
2025,ND,North Dakota,Other/Unknown,0.033
2025,ND,North Dakota,Practical Guidance,0.310
2025,ND,North Dakota,Seeking information,0.194
2025,ND,North Dakota,Self-expression,0.069
2025,ND,North Dakota,Technical help,0.053
2025,ND,North Dakota,Writing,0.275
2025,NE,Nebraska,Multimedia,0.071
2025,NE,Nebraska,Other/Unknown,0.051
2025,NE,Nebraska,Practical Guidance,0.294
2025,NE,Nebraska,Seeking information,0.180
2025,NE,Nebraska,Self-expression,0.070
2025,NE,Nebraska,Technical help,0.060
2025,NE,Nebraska,Writing,0.274
2025,NH,New Hampshire,Multimedia,0.045
2025,NH,New Hampshire,Other/Unknown,0.038
2025,NH,New Hampshire,Practical Guidance,0.300
2025,NH,New Hampshire,Seeking information,0.175
2025,NH,New Hampshire,Self-expression,0.091
2025,NH,New Hampshire,Technical help,0.072
2025,NH,New Hampshire,Writing,0.280
2025,NJ,New Jersey,Multimedia,0.052
2025,NJ,New Jersey,Other/Unknown,0.047
2025,NJ,New Jersey,Practical Guidance,0.278
2025,NJ,New Jersey,Seeking information,0.180
2025,NJ,New Jersey,Self-expression,0.076
2025,NJ,New Jersey,Technical help,0.090
2025,NJ,New Jersey,Writing,0.276
2025,NM,New Mexico,Multimedia,0.062
2025,NM,New Mexico,Other/Unknown,0.044
2025,NM,New Mexico,Practical Guidance,0.296
2025,NM,New Mexico,Seeking information,0.182
2025,NM,New Mexico,Self-expression,0.075
2025,NM,New Mexico,Technical help,0.057
2025,NM,New Mexico,Writing,0.283
2025,NV,Nevada,Multimedia,0.053
2025,NV,Nevada,Other/Unknown,0.048
2025,NV,Nevada,Practical Guidance,0.225
2025,NV,Nevada,Seeking information,0.331
2025,NV,Nevada,Self-expression,0.074
2025,NV,Nevada,Technical help,0.048
2025,NV,Nevada,Writing,0.222
2025,NY,New York,Multimedia,0.050
2025,NY,New York,Other/Unknown,0.045
2025,NY,New York,Practical Guidance,0.280
2025,NY,New York,Seeking information,0.208
2025,NY,New York,Self-expression,0.084
2025,NY,New York,Technical help,0.061
2025,NY,New York,Writing,0.272
2025,OH,Ohio,Multimedia,0.055
2025,OH,Ohio,Other/Unknown,0.043
2025,OH,Ohio,Practical Guidance,0.299
2025,OH,Ohio,Seeking information,0.179
2025,OH,Ohio,Self-expression,0.100
2025,OH,Ohio,Technical help,0.067
2025,OH,Ohio,Writing,0.258
2025,OK,Oklahoma,Multimedia,0.062
2025,OK,Oklahoma,Other/Unknown,0.032
2025,OK,Oklahoma,Practical Guidance,0.313
2025,OK,Oklahoma,Seeking information,0.170
2025,OK,Oklahoma,Self-expression,0.088
2025,OK,Oklahoma,Technical help,0.072
2025,OK,Oklahoma,Writing,0.264
2025,OR,Oregon,Multimedia,0.063
2025,OR,Oregon,Other/Unknown,0.049
2025,OR,Oregon,Practical Guidance,0.284
2025,OR,Oregon,Seeking information,0.173
2025,OR,Oregon,Self-expression,0.102
2025,OR,Oregon,Technical help,0.074
2025,OR,Oregon,Writing,0.255
2025,PA,Pennsylvania,Multimedia,0.050
2025,PA,Pennsylvania,Other/Unknown,0.045
2025,PA,Pennsylvania,Practical Guidance,0.322
2025,PA,Pennsylvania,Seeking information,0.182
2025,PA,Pennsylvania,Self-expression,0.077
2025,PA,Pennsylvania,Technical help,0.063
2025,PA,Pennsylvania,Writing,0.260
2025,RI,Rhode Island,Multimedia,0.037
2025,RI,Rhode Island,Other/Unknown,0.048
2025,RI,Rhode Island,Practical Guidance,0.308
2025,RI,Rhode Island,Seeking information,0.191
2025,RI,Rhode Island,Self-expression,0.068
2025,RI,Rhode Island,Technical help,0.070
2025,RI,Rhode Island,Writing,0.277
2025,SC,South Carolina,Multimedia,0.068
2025,SC,South Carolina,Other/Unknown,0.034
2025,SC,South Carolina,Practical Guidance,0.304
2025,SC,South Carolina,Seeking information,0.180
2025,SC,South Carolina,Self-expression,0.076
2025,SC,South Carolina,Technical help,0.065
2025,SC,South Carolina,Writing,0.274
2025,SD,South Dakota,Multimedia,0.068
2025,SD,South Dakota,Other/Unknown,0.014
2025,SD,South Dakota,Practical Guidance,0.350
2025,SD,South Dakota,Seeking information,0.163
2025,SD,South Dakota,Self-expression,0.109
2025,SD,South Dakota,Technical help,0.076
2025,SD,South Dakota,Writing,0.221
2025,TN,Tennessee,Multimedia,0.062
2025,TN,Tennessee,Other/Unknown,0.030
2025,TN,Tennessee,Practical Guidance,0.296
2025,TN,Tennessee,Seeking information,0.206
2025,TN,Tennessee,Self-expression,0.081
2025,TN,Tennessee,Technical help,0.072
2025,TN,Tennessee,Writing,0.254
2025,TX,Texas,Multimedia,0.058
2025,TX,Texas,Other/Unknown,0.046
2025,TX,Texas,Practical Guidance,0.295
2025,TX,Texas,Seeking information,0.198
2025,TX,Texas,Self-expression,0.078
2025,TX,Texas,Technical help,0.065
2025,TX,Texas,Writing,0.260
2025,UT,Utah,Multimedia,0.040
2025,UT,Utah,Other/Unknown,0.045
2025,UT,Utah,Practical Guidance,0.300
2025,UT,Utah,Seeking information,0.188
2025,UT,Utah,Self-expression,0.079
2025,UT,Utah,Technical help,0.078
2025,UT,Utah,Writing,0.270
2025,VA,Virginia,Multimedia,0.056
2025,VA,Virginia,Other/Unknown,0.048
2025,VA,Virginia,Practical Guidance,0.285
2025,VA,Virginia,Seeking information,0.180
2025,VA,Virginia,Self-expression,0.091
2025,VA,Virginia,Technical help,0.070
2025,VA,Virginia,Writing,0.269
2025,VT,Vermont,Multimedia,0.071
2025,VT,Vermont,Other/Unknown,0.000
2025,VT,Vermont,Practical Guidance,0.300
2025,VT,Vermont,Seeking information,0.204
2025,VT,Vermont,Self-expression,0.058
2025,VT,Vermont,Technical help,0.080
2025,VT,Vermont,Writing,0.287
2025,WA,Washington,Multimedia,0.049
2025,WA,Washington,Other/Unknown,0.045
2025,WA,Washington,Practical Guidance,0.271
2025,WA,Washington,Seeking information,0.187
2025,WA,Washington,Self-expression,0.082
2025,WA,Washington,Technical help,0.086
2025,WA,Washington,Writing,0.280
2025,WI,Wisconsin,Multimedia,0.059
2025,WI,Wisconsin,Other/Unknown,0.042
2025,WI,Wisconsin,Practical Guidance,0.308
2025,WI,Wisconsin,Seeking information,0.187
2025,WI,Wisconsin,Self-expression,0.077
2025,WI,Wisconsin,Technical help,0.077
2025,WI,Wisconsin,Writing,0.249
2025,WV,West Virginia,Multimedia,0.041
2025,WV,West Virginia,Other/Unknown,0.046
2025,WV,West Virginia,Practical Guidance,0.338
2025,WV,West Virginia,Seeking information,0.148
2025,WV,West Virginia,Self-expression,0.088
2025,WV,West Virginia,Technical help,0.082
2025,WV,West Virginia,Writing,0.256
2025,WY,Wyoming,Multimedia,0.100
2025,WY,Wyoming,Other/Unknown,0.029
2025,WY,Wyoming,Practical Guidance,0.307
2025,WY,Wyoming,Seeking information,0.184
2025,WY,Wyoming,Self-expression,0.088
2025,WY,Wyoming,Technical help,0.000
2025,WY,Wyoming,Writing,0.293
