month,topic,typical_name_gender,share_of_messages
2025-07-01,Seeking information,feminine,0.441
2025-07-01,Seeking information,masculine,0.559
2025-07-01,Self-expression,feminine,0.606
2025-07-01,Self-expression,masculine,0.394
2025-07-01,Technical help,feminine,0.307
2025-07-01,Technical help,masculine,0.693
2025-07-01,Writing,feminine,0.557
2025-07-01,Writing,masculine,0.443
2025-08-01,Multimedia,feminine,0.457
2025-08-01,Multimedia,masculine,0.543
2025-08-01,Other/Unknown,feminine,0.473
2025-08-01,Other/Unknown,masculine,0.527
2025-08-01,Practical Guidance,feminine,0.505
2025-08-01,Practical Guidance,masculine,0.495
2025-08-01,Seeking information,feminine,0.437
2025-08-01,Seeking information,masculine,0.563
2025-08-01,Self-expression,feminine,0.610
2025-08-01,Self-expression,masculine,0.390
2025-08-01,Technical help,feminine,0.317
2025-08-01,Technical help,masculine,0.683
2025-08-01,Writing,feminine,0.560
2025-08-01,Writing,masculine,0.440
2025-09-01,Multimedia,feminine,0.496
2025-09-01,Multimedia,masculine,0.504
2025-09-01,Other/Unknown,feminine,0.509
2025-09-01,Other/Unknown,masculine,0.491
2025-09-01,Practical Guidance,feminine,0.517
2025-09-01,Practical Guidance,masculine,0.483
2025-09-01,Seeking information,feminine,0.444
2025-09-01,Seeking information,masculine,0.556
2025-09-01,Self-expression,feminine,0.611
2025-09-01,Self-expression,masculine,0.389
2025-09-01,Technical help,feminine,0.339
2025-09-01,Technical help,masculine,0.661
2025-09-01,Writing,feminine,0.568
2025-09-01,Writing,masculine,0.432
2025-10-01,Multimedia,feminine,0.481
2025-10-01,Multimedia,masculine,0.519
2025-10-01,Other/Unknown,feminine,0.488
2025-10-01,Other/Unknown,masculine,0.512
2025-10-01,Practical Guidance,feminine,0.527
2025-10-01,Practical Guidance,masculine,0.473
2025-10-01,Seeking information,feminine,0.449
2025-10-01,Seeking information,masculine,0.551
2025-10-01,Self-expression,feminine,0.605
2025-10-01,Self-expression,masculine,0.395
2025-10-01,Technical help,feminine,0.336
2025-10-01,Technical help,masculine,0.664
2025-10-01,Writing,feminine,0.572
2025-10-01,Writing,masculine,0.428
2025-11-01,Multimedia,feminine,0.484
2025-11-01,Multimedia,masculine,0.516
2025-11-01,Other/Unknown,feminine,0.504
2025-11-01,Other/Unknown,masculine,0.496
2025-11-01,Practical Guidance,feminine,0.525
2025-11-01,Practical Guidance,masculine,0.475
2025-11-01,Seeking information,feminine,0.457
2025-11-01,Seeking information,masculine,0.543
2025-11-01,Self-expression,feminine,0.620
2025-11-01,Self-expression,masculine,0.380
2025-11-01,Technical help,feminine,0.349
2025-11-01,Technical help,masculine,0.651
2025-11-01,Writing,feminine,0.566
2025-11-01,Writing,masculine,0.434
2025-12-01,Multimedia,feminine,0.475
2025-12-01,Multimedia,masculine,0.525
2025-12-01,Other/Unknown,feminine,0.484
2025-12-01,Other/Unknown,masculine,0.516
2025-12-01,Practical Guidance,feminine,0.512
2025-12-01,Practical Guidance,masculine,0.488
2025-12-01,Seeking information,feminine,0.458
2025-12-01,Seeking information,masculine,0.542
2025-12-01,Self-expression,feminine,0.628
2025-12-01,Self-expression,masculine,0.372
2025-12-01,Technical help,feminine,0.347
2025-12-01,Technical help,masculine,0.653
2025-12-01,Writing,feminine,0.556
2025-12-01,Writing,masculine,0.444
